img_id;img_path;text_output;pred_bboxes;target_bboxes;ious;input_tokens;output_tokens
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;I’ve chosen to grip the long arm’s far end to maximize torque when tightening bolts, so the hand would wrap around the rightmost section of the allen key. {hand:[0.70,0.48,0.98,0.62]};{'hand': [0.7, 0.48, 0.98, 0.62]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.2763479311321711};1951;1083
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{hand:[0.28,0.30,0.60,0.55]};{'hand': [0.28, 0.3, 0.6, 0.55]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.49168040086279036};1951;409
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;I’ve identified the optimal contact regions for a two‐finger hold on the syringe: the index finger grips the barrel just behind the flange, and the thumb presses on the plunger knob. Here are the normalized bounding boxes:{index:[0.40,0.35,0.60,0.55],thumb:[0.70,0.55,0.90,0.80]};{'index': [0.4, 0.35, 0.6, 0.55], 'thumb': [0.7, 0.55, 0.9, 0.8]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.0016711099041984041, 'thumb': 0.32762758790123686};1964;536
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{hand:[0.50,0.52,0.75,0.83]};{'hand': [0.5, 0.52, 0.75, 0.83]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.3595453491069358};1948;537
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{hand:[0.25,0.05,0.75,0.30]};{'hand': [0.25, 0.05, 0.75, 0.3]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.20403806299916816};1951;857
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;I’ve identified the top drawer’s horizontal bar handle as the optimal contact region for the robotic hand. Here’s the normalized bounding box around the handle:{hand:[0.35,0.12,0.65,0.18]};{'hand': [0.35, 0.12, 0.65, 0.18]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.15004811916816602};1978;567
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{index:[0.48,0.39,0.59,0.68]};{'index': [0.48, 0.39, 0.59, 0.68]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.16884129640900783};1976;601
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{hand:[0.38,0.05,0.62,0.45]};{'hand': [0.38, 0.05, 0.62, 0.45]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.5722864416964485};1947;537
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{index:[0.48,0.48,0.58,0.62]};{'index': [0.48, 0.48, 0.58, 0.62]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.07680180180180157};1973;857
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;I have identified the best continuous contact region around the vertical bar handle that the robotic hand would wrap around to use it.{hand:[0.68,0.35,0.78,0.78]};{'hand': [0.68, 0.35, 0.78, 0.78]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.03936627906976733};1967;433
